JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JP9084;MS15;2006-08-25;2006-08-30;2006-08-30;
JP9084;MS10;2006-05-30;2006-06-30;2006-06-30;
JP9084;MS05;2005-12-06;2005-12-06;2005-12-06;
JP9059;MS10;2006-08-31;2007-03-09;2007-03-09;
JP9059;MS05;2006-01-19;2006-01-19;2006-01-19;
JP9069;MS11;2006-04-24;2006-04-24;2006-04-24;
JP9069;MS18;2006-05-22;2006-06-30;2006-06-30;
JP9069;MS15;2006-06-16;2006-08-16;2006-08-16;
JP9069;MS10;2006-03-17;2006-03-17;2006-03-17;
JP9082;MS13;2006-06-09;2006-06-08;2006-06-08;
JP9080;MS11;2006-04-24;2006-04-24;2006-04-24;
JP9068;MS18;2006-09-18;2007-05-25;2007-05-25;
JP9083;MS11;2006-11-03;2006-12-18;2006-12-18;
JP9083;MS18;2006-12-01;2007-02-28;2007-02-28;
JP9083;MS13;2006-12-14;2007-03-28;2007-03-28;
JP9083;MS15;2006-12-28;2007-03-30;2007-03-28;
JP9060;MS11;2006-09-08;2006-11-20;2006-11-20;
JP9060;MS13;2006-10-19;2007-03-26;2007-03-26;
JP9060;MS15;2006-11-02;2007-03-28;2007-03-28;
JP9064;MS05;2005-12-16;2005-12-16;2005-12-16;
JP9079;MS18;2006-10-18;2006-12-12;2006-12-12;
JP9079;MS13;2006-10-31;2006-12-16;2006-12-16;
JP9079;MS05;2005-10-14;2005-10-14;2005-10-14;
JP9062;MS11;2006-11-17;2007-01-08;2007-01-08;
JP9062;MS13;2007-05-11;2007-05-11;2007-05-11;
JP9062;MS10;2006-11-03;2006-12-18;2006-12-18;
JP9071;MS18;2006-11-17;2006-12-08;2006-12-08;
JP9071;MS10;2006-09-29;2006-09-29;2006-09-29;
JP9057;MS13;2006-09-01;2006-09-08;2006-09-08;
JP9058;MS10;2006-10-31;2006-12-21;2006-12-21;
JP9058;MS11;2006-11-14;2007-01-04;2007-01-04;
JP9058;MS13;2006-12-27;2007-03-29;2007-03-29;
JP9058;MS15;2007-01-10;2007-03-30;2007-03-30;
JP9058;MS05;2006-01-09;2006-01-09;2006-01-09;
JP9034;MS18;2006-05-31;2006-06-09;2006-06-09;
JP9034;MS15;2006-07-03;2006-07-04;2006-07-04;
JA9016;MS13;2006-04-24;2006-04-24;2006-04-24;
JA9016;MS10;2005-12-10;2005-12-10;2005-12-10;
JA9016;MS11;2005-09-19;2005-09-19;2005-09-19;
JS9570;MS18;2006-06-12;2006-06-30;2006-06-30;
JS9570;MS13;2006-06-26;2006-08-16;2006-08-16;
JS9586;MS13;2006-08-23;2006-10-13;2006-10-13;
JA9004;MS15;2006-06-16;2006-12-14;2006-12-14;
JA9007;MS10;2005-12-02;2005-12-02;2005-12-02;
JA9007;MS11;2006-03-25;2006-03-25;2006-03-25;
JA9007;MS18;2006-04-13;2006-04-13;2006-04-13;
JA9007;MS15;2006-06-12;2006-06-01;2006-06-01;
JA9025;MS05;2005-10-11;2005-10-11;2005-10-11;
JA9025;MS15;2006-06-09;2006-05-25;2006-05-25;
JA9033;MS10;2006-02-21;2006-02-21;2006-02-21;
JA9033;MS15;2006-06-09;2006-05-29;2006-05-29;
